dst_node,L1,comb,n_nodes,selected
depth,12.86,our_mean,12,0
depth,12.86,our_mean,12,1
depth,12.87,our_mean,11,0
depth,12.82,our_mean,11,1
depth,12.89,our_mean,10,0
depth,12.79,our_mean,10,1
depth,12.89,our_mean,9,0
depth,12.83,our_mean,9,1
depth,12.96,our_mean,8,0
depth,12.86,our_mean,8,1
depth,13,our_mean,7,0
depth,12.86,our_mean,7,1
depth,12.94,our_mean,6,0
depth,12.87,our_mean,6,1
depth,13.04,our_mean,5,0
depth,12.89,our_mean,5,1
depth,13.12,our_mean,4,0
depth,12.92,our_mean,4,1
depth,13.18,our_mean,3,0
depth,13,our_mean,3,1
depth,13.24,our_mean,2,0
depth,13.08,our_mean,2,1
depth,13.58,our_mean,1,0
depth,13.47,our_mean,1,1
depth,12.77,our_median,12,0
depth,12.77,our_median,12,1
depth,12.78,our_median,11,0
depth,12.76,our_median,11,1
depth,12.8,our_median,10,0
depth,12.76,our_median,10,1
depth,12.78,our_median,9,0
depth,12.79,our_median,9,1
depth,12.85,our_median,8,0
depth,12.83,our_median,8,1
depth,12.88,our_median,7,0
depth,12.82,our_median,7,1
depth,12.87,our_median,6,0
depth,12.84,our_median,6,1
depth,13.01,our_median,5,0
depth,12.87,our_median,5,1
depth,13.07,our_median,4,0
depth,12.88,our_median,4,1
depth,13.24,our_median,3,0
depth,13.03,our_median,3,1
depth,13.4,our_median,2,0
depth,13.17,our_median,2,1
depth,13.5,our_median,1,0
depth,14.58,our_median,1,1
depth,12.94,simple_mean,12,0
depth,12.94,simple_mean,12,1
depth,12.95,simple_mean,11,0
depth,12.86,simple_mean,11,1
depth,12.98,simple_mean,10,0
depth,12.8,simple_mean,10,1
depth,12.99,simple_mean,9,0
depth,12.83,simple_mean,9,1
depth,13.08,simple_mean,8,0
depth,12.86,simple_mean,8,1
depth,13.14,simple_mean,7,0
depth,12.84,simple_mean,7,1
depth,13,simple_mean,6,0
depth,12.83,simple_mean,6,1
depth,13.12,simple_mean,5,0
depth,12.84,simple_mean,5,1
depth,13.21,simple_mean,4,0
depth,12.85,simple_mean,4,1
depth,13.27,simple_mean,3,0
depth,12.9,simple_mean,3,1
depth,13.11,simple_mean,2,0
depth,12.94,simple_mean,2,1
depth,13.39,simple_mean,1,0
depth,13.25,simple_mean,1,1
normals,7.75,our_mean,12,0
normals,7.75,our_mean,12,1
normals,7.75,our_mean,11,0
normals,7.7,our_mean,11,1
normals,7.79,our_mean,10,0
normals,7.67,our_mean,10,1
normals,7.79,our_mean,9,0
normals,7.68,our_mean,9,1
normals,7.84,our_mean,8,0
normals,7.67,our_mean,8,1
normals,7.91,our_mean,7,0
normals,7.66,our_mean,7,1
normals,7.82,our_mean,6,0
normals,7.67,our_mean,6,1
normals,7.91,our_mean,5,0
normals,7.68,our_mean,5,1
normals,7.94,our_mean,4,0
normals,7.69,our_mean,4,1
normals,7.96,our_mean,3,0
normals,7.73,our_mean,3,1
normals,7.86,our_mean,2,0
normals,7.81,our_mean,2,1
normals,8,our_mean,1,0
normals,7.93,our_mean,1,1
normals,7.61,our_median,12,0
normals,7.61,our_median,12,1
normals,7.61,our_median,11,0
normals,7.6,our_median,11,1
normals,7.64,our_median,10,0
normals,7.62,our_median,10,1
normals,7.63,our_median,9,0
normals,7.61,our_median,9,1
normals,7.67,our_median,8,0
normals,7.63,our_median,8,1
normals,7.71,our_median,7,0
normals,7.61,our_median,7,1
normals,7.74,our_median,6,0
normals,7.68,our_median,6,1
normals,7.79,our_median,5,0
normals,7.68,our_median,5,1
normals,7.89,our_median,4,0
normals,7.79,our_median,4,1
normals,7.94,our_median,3,0
normals,7.86,our_median,3,1
normals,8.17,our_median,2,0
normals,8.13,our_median,2,1
normals,8.3,our_median,1,0
normals,8.3,our_median,1,1
normals,7.95,simple_mean,12,0
normals,7.95,simple_mean,12,1
normals,7.96,simple_mean,11,0
normals,7.84,simple_mean,11,1
normals,8.02,simple_mean,10,0
normals,7.74,simple_mean,10,1
normals,8.03,simple_mean,9,0
normals,7.74,simple_mean,9,1
normals,8.12,simple_mean,8,0
normals,7.7,simple_mean,8,1
normals,8.23,simple_mean,7,0
normals,7.68,simple_mean,7,1
normals,8.03,simple_mean,6,0
normals,7.65,simple_mean,6,1
normals,8.15,simple_mean,5,0
normals,7.65,simple_mean,5,1
normals,8.2,simple_mean,4,0
normals,7.65,simple_mean,4,1
normals,8.26,simple_mean,3,0
normals,7.66,simple_mean,3,1
normals,7.8,simple_mean,2,0
normals,7.71,simple_mean,2,1
normals,7.91,simple_mean,1,0
normals,7.8,simple_mean,1,1
rgb,3.65,our_mean,12,0
rgb,3.65,our_mean,12,1
rgb,3.56,our_mean,11,0
rgb,3.2,our_mean,11,1
rgb,3.37,our_mean,10,0
rgb,3,our_mean,10,1
rgb,3.5,our_mean,9,0
rgb,2.73,our_mean,9,1
rgb,3.36,our_mean,8,0
rgb,2.52,our_mean,8,1
rgb,3.08,our_mean,7,0
rgb,2.15,our_mean,7,1
rgb,2.96,our_mean,6,0
rgb,1.8,our_mean,6,1
rgb,3.46,our_mean,5,0
rgb,1.46,our_mean,5,1
rgb,2.96,our_mean,4,0
rgb,1.24,our_mean,4,1
rgb,3.03,our_mean,3,0
rgb,0.94,our_mean,3,1
rgb,1.2,our_mean,2,0
rgb,0.62,our_mean,2,1
rgb,1.46,our_mean,1,0
rgb,0.49,our_mean,1,1
rgb,2.06,our_median,12,0
rgb,2.06,our_median,12,1
rgb,1.83,our_median,11,0
rgb,1.82,our_median,11,1
rgb,1.74,our_median,10,0
rgb,1.77,our_median,10,1
rgb,1.64,our_median,9,0
rgb,1.46,our_median,9,1
rgb,1.78,our_median,8,0
rgb,1.6,our_median,8,1
rgb,1.32,our_median,7,0
rgb,1.24,our_median,7,1
rgb,1.25,our_median,6,0
rgb,1.13,our_median,6,1
rgb,1.62,our_median,5,0
rgb,0.8,our_median,5,1
rgb,1.46,our_median,4,0
rgb,0.84,our_median,4,1
rgb,0.74,our_median,3,0
rgb,0.39,our_median,3,1
rgb,0.73,our_median,2,0
rgb,0.38,our_median,2,1
rgb,0,our_median,1,0
rgb,0,our_median,1,1
rgb,4.3,simple_mean,12,0
rgb,4.3,simple_mean,12,1
rgb,4.25,simple_mean,11,0
rgb,3.55,simple_mean,11,1
rgb,4.06,simple_mean,10,0
rgb,3.3,simple_mean,10,1
rgb,4.25,simple_mean,9,0
rgb,2.99,simple_mean,9,1
rgb,4.2,simple_mean,8,0
rgb,2.83,simple_mean,8,1
rgb,4.04,simple_mean,7,0
rgb,2.47,simple_mean,7,1
rgb,4.05,simple_mean,6,0
rgb,2.13,simple_mean,6,1
rgb,4.64,simple_mean,5,0
rgb,1.75,simple_mean,5,1
rgb,4.31,simple_mean,4,0
rgb,1.46,simple_mean,4,1
rgb,4.73,simple_mean,3,0
rgb,1.13,simple_mean,3,1
rgb,1.5,simple_mean,2,0
rgb,0.7,simple_mean,2,1
rgb,1.94,simple_mean,1,0
rgb,0.56,simple_mean,1,1
